# Time(s) i_C(A) V_C(V) V_R5(V) V_L1(V) Vg1(V) Vg2(V)
0.00000000 0.00000000 0.00000000 0.00000000 0.30938153 0.00000000 0.00000000
0.00001000 0.00010344 0.00003450 0.00103440 0.61551199 0.62203387 0.20734462
0.00002000 0.00041281 0.00027552 0.00412805 1.22294394 1.24405890 0.41468630
0.00003000 0.00092662 0.00092826 0.00926622 1.82078100 1.86606625 0.62202208
0.00004000 0.00164335 0.00219641 0.01643354 2.40914885 2.48804708 0.82934903
0.00005000 0.00256140 0.00428208 0.02561403 2.98817219 3.10999255 1.03666418
0.00006000 0.00367911 0.00738577 0.03679113 3.55797477 3.73189382 1.24396461
0.00007000 0.00499477 0.01170629 0.04994772 4.11867939 4.35374205 1.45124735
0.00008000 0.00650661 0.01744071 0.06506607 4.67040789 4.97552841 1.65850947
0.00009000 0.00821279 0.02478429 0.08212791 5.21328114 5.59724405 1.86574802
0.00010000 0.01011144 0.03393044 0.10111439 5.74741909 6.21888014 2.07296005
0.00011000 0.01220062 0.04507068 0.12200616 6.27294071 6.84042785 2.28014262
0.00012000 0.01447833 0.05839452 0.14478330 6.78996405 7.46187834 2.48729278
0.00013000 0.01694254 0.07408950 0.16942538 7.29860620 8.08322278 2.69440759
0.00014000 0.01959115 0.09234107 0.19591145 7.79898330 8.70445234 2.90148411
0.00015000 0.02242201 0.11333255 0.22422007 8.29121058 9.32555819 3.10851940
0.00016000 0.02543293 0.13724510 0.25432930 8.77540230 9.94653150 3.31551050
0.00017000 0.02862167 0.16425768 0.28621670 9.25167178 10.56736345 3.52245448
0.00018000 0.03198594 0.19454696 0.31985940 9.72013142 11.18804522 3.72934841
0.00019000 0.03552340 0.22828729 0.35523404 10.18089268 11.80856798 3.93618933
0.00020000 0.03923168 0.26565070 0.39231681 10.63406607 12.42892291 4.14297430
0.00021000 0.04310835 0.30680679 0.43108348 11.07976118 13.04910120 4.34970040
0.00022000 0.04715094 0.35192271 0.47150937 11.51808667 13.66909404 4.55636468
0.00023000 0.05135694 0.40116313 0.51356940 11.94915025 14.28889260 4.76296420
0.00024000 0.05572381 0.45469021 0.55723808 12.37305870 14.90848809 4.96949603
0.00025000 0.06024895 0.51266351 0.60248952 12.78991788 15.52787170 5.17595723
0.00026000 0.06492975 0.57524000 0.64929745 13.19983272 16.14703462 5.38234487
0.00027000 0.06976352 0.64257399 0.69763524 13.60290721 16.76596805 5.58865602
0.00028000 0.07474759 0.71481714 0.74747588 13.99924440 17.38466321 5.79488774
0.00029000 0.07987920 0.79211835 0.79879203 14.38894643 18.00311129 6.00103710
0.00030000 0.08515560 0.87462381 0.85155599 14.77211451 18.62130350 6.20710117
0.00031000 0.09057398 0.96247688 0.90573976 15.14884889 19.23923107 6.41307702
0.00032000 0.09613150 1.05581814 0.96131499 15.51924894 19.85688520 6.61896173
0.00033000 0.10182531 1.15478531 1.01825308 15.88341306 20.47425713 6.82475238
